YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire
2004.00,1.00000,8.00000,0.00000,4.47254e+17,2.63640e+16,5.62000,8.02200,0.00000
2004.00,2.00000,2.00000,0.00000,5.13123e+17,6.78259e+15,5.20000,10.4220,0.00000
2004.00,2.00000,26.0000,0.00000,7.42222e+17,1.42902e+16,6.50000,11.8690,0.00000
2004.00,4.00000,1.00000,0.00000,6.74423e+17,9.20375e+15,8.28000,12.7690,0.00000
2004.00,5.00000,13.0000,0.00000,5.68030e+17,8.43082e+15,8.96000,10.4070,0.00000
2004.00,7.00000,9.00000,0.00000,6.78200e+17,4.13792e+15,8.26000,10.9130,0.00000
2004.00,8.00000,11.0000,0.00000,7.95339e+17,1.15428e+16,10.6200,11.2470,1.00000
2004.00,8.00000,18.0000,0.00000,6.69287e+17,6.38081e+15,7.26000,10.4640,0.00000
2004.00,9.00000,10.0000,0.00000,9.71725e+17,1.87449e+16,11.1800,13.4790,0.00000
2004.00,9.00000,24.0000,0.00000,9.57892e+17,2.63294e+16,4.90000,11.4600,0.00000
2004.00,9.00000,30.0000,0.00000,7.99056e+17,1.28564e+16,8.48000,11.2350,0.00000
2004.00,11.0000,4.00000,0.00000,9.40403e+17,1.05882e+16,7.44000,11.9840,0.00000
2004.00,11.0000,18.0000,0.00000,9.39413e+17,8.99738e+15,8.82000,13.2280,0.00000
2004.00,11.0000,25.0000,0.00000,8.65732e+17,5.38031e+15,7.92000,11.4740,0.00000
2004.00,12.0000,17.0000,0.00000,9.29470e+17,6.14481e+15,8.90000,12.9220,0.00000
2005.00,1.00000,13.0000,0.00000,8.60586e+17,1.56776e+16,7.00000,14.1160,0.00000
2005.00,1.00000,27.0000,0.00000,8.46763e+17,8.60067e+15,7.26000,12.5640,0.00000
2005.00,2.00000,9.00000,0.00000,5.05428e+17,1.42769e+16,4.44000,9.86100,0.00000
2005.00,2.00000,25.0000,0.00000,6.77653e+17,1.03890e+16,7.64000,13.6360,0.00000
2005.00,4.00000,14.0000,6.00000,6.44599e+17,1.55736e+16,8.86000,11.8490,0.00000
2005.00,4.00000,27.0000,6.00000,8.65596e+17,1.14069e+16,6.90000,13.4580,0.00000
2005.00,7.00000,13.0000,0.00000,7.15434e+17,1.24426e+16,5.14000,10.8840,0.00000
2005.00,8.00000,18.0000,0.00000,7.65784e+17,1.23660e+16,6.72000,12.7070,0.00000
2005.00,9.00000,1.00000,6.00000,6.94682e+17,7.19496e+15,4.60000,9.15900,0.00000
2005.00,9.00000,22.0000,0.00000,6.69312e+17,3.00795e+16,4.08000,8.83900,0.00000
2005.00,10.0000,26.0000,0.00000,9.93797e+17,6.76524e+15,6.48000,11.6420,1.00000
2005.00,11.0000,3.00000,0.00000,9.00668e+17,8.79290e+15,7.16000,11.9840,1.00000
2005.00,11.0000,8.00000,0.00000,9.59779e+17,1.39370e+16,5.42000,10.4640,1.00000
2005.00,11.0000,17.0000,0.00000,8.58106e+17,1.93171e+16,10.4400,11.2760,1.00000
2005.00,11.0000,25.0000,0.00000,8.45086e+17,7.36986e+15,7.42000,11.2600,0.00000
2005.00,12.0000,21.0000,0.00000,9.30295e+17,6.80531e+15,9.12000,14.1680,0.00000
2006.00,1.00000,5.00000,0.00000,8.90809e+17,1.23847e+16,4.04000,15.7090,0.00000
2006.00,2.00000,3.00000,0.00000,6.49535e+17,1.59731e+16,8.28000,15.8580,0.00000
2006.00,2.00000,17.0000,0.00000,7.75165e+17,5.11042e+15,5.40000,11.5040,0.00000
2006.00,2.00000,22.0000,0.00000,6.60342e+17,7.92139e+15,8.50000,13.7020,0.00000
2006.00,3.00000,10.0000,0.00000,6.63538e+17,6.28253e+15,7.72000,14.0260,0.00000
2006.00,3.00000,17.0000,0.00000,5.88300e+17,2.93137e+15,9.06000,10.8390,0.00000
2006.00,3.00000,23.0000,0.00000,9.63117e+17,6.19175e+15,5.32000,15.6160,0.00000
2006.00,6.00000,14.0000,0.00000,6.39035e+17,1.04524e+16,9.94000,11.3360,0.00000
2006.00,6.00000,29.0000,0.00000,8.41503e+17,1.41899e+16,6.12000,12.1820,0.00000
2006.00,7.00000,20.0000,0.00000,6.48012e+17,1.49486e+16,7.44000,11.3210,0.00000
2006.00,8.00000,9.00000,0.00000,5.83983e+17,1.21691e+16,6.88000,7.68300,0.00000
2006.00,8.00000,30.0000,0.00000,9.59041e+17,1.08428e+16,8.04000,10.9900,0.00000
2006.00,9.00000,7.00000,0.00000,7.30999e+17,8.13491e+15,9.66000,10.4420,0.00000
2006.00,9.00000,13.0000,0.00000,8.48753e+17,1.70032e+16,5.32000,12.3530,0.00000
2006.00,9.00000,27.0000,0.00000,6.23515e+17,1.12811e+16,4.38000,9.67100,0.00000
2006.00,10.0000,4.00000,6.00000,1.17159e+18,1.34582e+16,6.74000,11.4320,0.00000
2006.00,10.0000,12.0000,0.00000,1.35323e+18,1.25589e+16,11.6400,14.9130,0.00000
2006.00,10.0000,16.0000,6.00000,8.77401e+17,1.13342e+16,7.92000,11.2300,1.00000
2007.00,1.00000,4.00000,0.00000,8.96338e+17,9.78270e+15,4.72000,12.9610,0.00000
2007.00,1.00000,12.0000,0.00000,5.55177e+17,1.87351e+16,4.48000,11.2980,0.00000
2007.00,1.00000,24.0000,0.00000,5.44362e+17,6.00465e+15,5.28000,11.1490,0.00000
2007.00,2.00000,9.00000,0.00000,7.39040e+17,8.07492e+15,4.90000,12.4160,0.00000
2007.00,2.00000,21.0000,0.00000,8.31197e+17,6.17778e+15,9.76000,12.4090,0.00000
2007.00,3.00000,1.00000,0.00000,6.62346e+17,1.07567e+16,7.76000,11.1650,0.00000
2007.00,3.00000,7.00000,0.00000,7.31544e+17,5.91155e+15,7.40000,13.4540,0.00000
2007.00,3.00000,15.0000,0.00000,8.33262e+17,3.15401e+16,8.80000,16.5020,0.00000
2007.00,3.00000,21.0000,0.00000,7.58638e+17,3.11432e+16,4.32000,12.7740,0.00000
2007.00,3.00000,28.0000,6.00000,6.78791e+17,3.35000e+15,8.02000,15.1720,0.00000
2007.00,4.00000,4.00000,0.00000,9.14951e+17,1.31060e+16,7.26000,14.1680,0.00000
2007.00,4.00000,13.0000,0.00000,8.15372e+17,2.34069e+16,5.98000,12.5480,0.00000
2007.00,4.00000,20.0000,0.00000,7.41911e+17,1.35704e+16,4.08000,12.1330,0.00000
2007.00,6.00000,1.00000,0.00000,6.77924e+17,8.18356e+15,6.48000,11.3940,0.00000
2007.00,8.00000,20.0000,6.00000,7.67445e+17,2.36083e+16,6.80000,11.5180,0.00000
2007.00,9.00000,7.00000,0.00000,7.49583e+17,1.11424e+16,9.60000,10.1080,0.00000
2007.00,9.00000,20.0000,6.00000,8.02013e+17,9.42431e+15,4.74000,9.48600,0.00000
2007.00,10.0000,17.0000,0.00000,1.03936e+18,7.04983e+15,4.98000,11.8310,1.00000
2007.00,10.0000,31.0000,0.00000,7.40216e+17,7.99337e+15,6.24000,10.7780,1.00000
2008.00,1.00000,18.0000,0.00000,8.52970e+17,1.40689e+16,6.24000,15.2580,0.00000
2008.00,1.00000,25.0000,0.00000,8.05663e+17,8.83367e+15,8.88000,12.1430,0.00000
2008.00,2.00000,21.0000,0.00000,7.35785e+17,1.53128e+16,6.46000,15.3360,0.00000
2008.00,3.00000,5.00000,0.00000,7.26154e+17,3.92653e+15,10.7400,15.0400,0.00000
2008.00,3.00000,11.0000,0.00000,7.92069e+17,1.35814e+16,5.82000,12.3300,0.00000
2008.00,4.00000,16.0000,0.00000,6.79126e+17,1.11600e+16,7.96000,13.1720,0.00000
2008.00,6.00000,25.0000,0.00000,8.88934e+17,4.66815e+15,6.76000,13.7590,0.00000
2008.00,7.00000,9.00000,0.00000,7.53328e+17,1.35805e+16,6.12000,11.6670,0.00000
2008.00,7.00000,23.0000,0.00000,6.23846e+17,7.54917e+15,6.08000,10.2650,0.00000
2008.00,8.00000,15.0000,6.00000,6.27813e+17,1.21930e+16,6.60000,11.0410,0.00000
2008.00,9.00000,10.0000,0.00000,7.65661e+17,8.93947e+15,7.24000,9.79000,0.00000
2008.00,9.00000,24.0000,0.00000,7.45726e+17,3.22253e+16,4.90000,11.2400,0.00000
2008.00,10.0000,30.0000,0.00000,8.66202e+17,1.56259e+16,6.96000,10.8640,0.00000
2008.00,11.0000,7.00000,0.00000,8.55204e+17,1.05448e+16,8.74000,13.0760,0.00000
2008.00,11.0000,26.0000,0.00000,7.43671e+17,2.32520e+16,8.54000,9.49300,0.00000
2008.00,12.0000,3.00000,0.00000,5.43487e+17,6.47837e+15,4.40000,9.96500,0.00000
2008.00,12.0000,12.0000,0.00000,8.17786e+17,3.68011e+15,9.52000,14.2530,0.00000
2009.00,1.00000,7.00000,0.00000,8.30169e+17,1.09041e+16,13.2200,14.0380,0.00000
2009.00,1.00000,13.0000,0.00000,1.10688e+18,1.34445e+16,7.52000,13.7550,0.00000
2009.00,1.00000,14.0000,0.00000,1.00967e+18,2.38583e+16,13.1400,14.9980,0.00000
2009.00,1.00000,21.0000,0.00000,6.92115e+17,1.41509e+16,11.5200,12.0610,0.00000
